Simulation,Nb_agents,Gamma,Alpha,Beta,Blue_95_time,Blue_time,Red_95_time,Red_time,time_limit,NotCrossed_atClose,Final_time
1,27,0.005,4.5,2.0,6.240000000000003,6.240000000000003,24.480000000000004,28.679999999999914,60.0,0,28.679999999999914
1,27,0.005,4.5,2.0,6.240000000000003,6.240000000000003,24.480000000000004,28.679999999999914,60.0,0,28.679999999999914
2,27,0.005,4.5,2.0,6.840000000000003,6.840000000000003,23.40000000000002,28.319999999999922,60.0,0,28.319999999999922
1,27,0.005,4.5,2.0,6.240000000000003,6.240000000000003,24.480000000000004,28.679999999999914,60.0,0,28.679999999999914
2,27,0.005,4.5,2.0,6.840000000000003,6.840000000000003,23.40000000000002,28.319999999999922,60.0,0,28.319999999999922
3,27,0.005,5.0,2.0,4.920000000000003,4.920000000000003,22.080000000000016,26.399999999999963,60.0,0,26.399999999999963
1,27,0.005,4.5,2.0,6.240000000000003,6.240000000000003,24.480000000000004,28.679999999999914,60.0,0,28.679999999999914
2,27,0.005,4.5,2.0,6.840000000000003,6.840000000000003,23.40000000000002,28.319999999999922,60.0,0,28.319999999999922
3,27,0.005,5.0,2.0,4.920000000000003,4.920000000000003,22.080000000000016,26.399999999999963,60.0,0,26.399999999999963
4,27,0.005,5.0,2.0,6.360000000000003,6.360000000000003,24.000000000000014,29.159999999999904,60.0,0,29.159999999999904
1,27,0.005,4.5,2.0,6.240000000000003,6.240000000000003,24.480000000000004,28.679999999999914,60.0,0,28.679999999999914
2,27,0.005,4.5,2.0,6.840000000000003,6.840000000000003,23.40000000000002,28.319999999999922,60.0,0,28.319999999999922
3,27,0.005,5.0,2.0,4.920000000000003,4.920000000000003,22.080000000000016,26.399999999999963,60.0,0,26.399999999999963
4,27,0.005,5.0,2.0,6.360000000000003,6.360000000000003,24.000000000000014,29.159999999999904,60.0,0,29.159999999999904
5,27,0.005,5.5,2.0,7.080000000000004,7.080000000000004,23.160000000000018,27.47999999999994,60.0,0,27.47999999999994
1,27,0.005,4.5,2.0,6.240000000000003,6.240000000000003,24.480000000000004,28.679999999999914,60.0,0,28.679999999999914
2,27,0.005,4.5,2.0,6.840000000000003,6.840000000000003,23.40000000000002,28.319999999999922,60.0,0,28.319999999999922
3,27,0.005,5.0,2.0,4.920000000000003,4.920000000000003,22.080000000000016,26.399999999999963,60.0,0,26.399999999999963
4,27,0.005,5.0,2.0,6.360000000000003,6.360000000000003,24.000000000000014,29.159999999999904,60.0,0,29.159999999999904
5,27,0.005,5.5,2.0,7.080000000000004,7.080000000000004,23.160000000000018,27.47999999999994,60.0,0,27.47999999999994
6,27,0.005,5.5,2.0,5.520000000000003,5.520000000000003,22.560000000000016,26.399999999999963,60.0,0,26.399999999999963
1,27,0.005,4.0,2.0,9.000000000000005,9.000000000000005,23.880000000000017,29.2799999999999,60.0,0,29.2799999999999
1,27,0.005,4.0,2.0,9.000000000000005,9.000000000000005,23.880000000000017,29.2799999999999,60.0,0,29.2799999999999
2,27,0.005,4.0,2.0,8.520000000000005,8.520000000000005,25.07999999999999,28.799999999999912,60.0,0,28.799999999999912
1,27,0.005,4.0,2.0,9.000000000000005,9.000000000000005,23.880000000000017,29.2799999999999,60.0,0,29.2799999999999
2,27,0.005,4.0,2.0,8.520000000000005,8.520000000000005,25.07999999999999,28.799999999999912,60.0,0,28.799999999999912
3,27,0.005,4.0,2.0,5.400000000000003,5.400000000000003,20.760000000000016,25.319999999999986,60.0,0,25.319999999999986
1,27,0.005,4.0,2.0,9.000000000000005,9.000000000000005,23.880000000000017,29.2799999999999,60.0,0,29.2799999999999
2,27,0.005,4.0,2.0,8.520000000000005,8.520000000000005,25.07999999999999,28.799999999999912,60.0,0,28.799999999999912
3,27,0.005,4.0,2.0,5.400000000000003,5.400000000000003,20.760000000000016,25.319999999999986,60.0,0,25.319999999999986
4,27,0.005,4.0,2.0,8.280000000000005,8.280000000000005,22.920000000000016,26.759999999999955,60.0,0,26.759999999999955
1,27,0.005,4.0,2.0,9.000000000000005,9.000000000000005,23.880000000000017,29.2799999999999,60.0,0,29.2799999999999
2,27,0.005,4.0,2.0,8.520000000000005,8.520000000000005,25.07999999999999,28.799999999999912,60.0,0,28.799999999999912
3,27,0.005,4.0,2.0,5.400000000000003,5.400000000000003,20.760000000000016,25.319999999999986,60.0,0,25.319999999999986
4,27,0.005,4.0,2.0,8.280000000000005,8.280000000000005,22.920000000000016,26.759999999999955,60.0,0,26.759999999999955
5,27,0.005,4.0,2.0,6.840000000000003,6.840000000000003,22.80000000000002,25.67999999999998,60.0,0,25.67999999999998
1,27,0.005,4.0,2.0,9.000000000000005,9.000000000000005,23.880000000000017,29.2799999999999,60.0,0,29.2799999999999
2,27,0.005,4.0,2.0,8.520000000000005,8.520000000000005,25.07999999999999,28.799999999999912,60.0,0,28.799999999999912
3,27,0.005,4.0,2.0,5.400000000000003,5.400000000000003,20.760000000000016,25.319999999999986,60.0,0,25.319999999999986
4,27,0.005,4.0,2.0,8.280000000000005,8.280000000000005,22.920000000000016,26.759999999999955,60.0,0,26.759999999999955
5,27,0.005,4.0,2.0,6.840000000000003,6.840000000000003,22.80000000000002,25.67999999999998,60.0,0,25.67999999999998
6,27,0.005,4.0,2.0,5.520000000000003,5.520000000000003,20.400000000000016,25.55999999999998,60.0,0,25.55999999999998
1,27,0.005,4.0,2.0,9.000000000000005,9.000000000000005,23.880000000000017,29.2799999999999,60.0,0,29.2799999999999
2,27,0.005,4.0,2.0,8.520000000000005,8.520000000000005,25.07999999999999,28.799999999999912,60.0,0,28.799999999999912
3,27,0.005,4.0,2.0,5.400000000000003,5.400000000000003,20.760000000000016,25.319999999999986,60.0,0,25.319999999999986
4,27,0.005,4.0,2.0,8.280000000000005,8.280000000000005,22.920000000000016,26.759999999999955,60.0,0,26.759999999999955
