Simulation,Nb_agents,Gamma,Alpha,Beta,Blue_time,Red_time,Final_time
1,3,0.005,5.0,2.0,2.3000000000000003,4.55,6.85
1,3,0.005,5.0,2.0,2.25,5.15,7.4
1,4,0.005,5.0,2.0,0.2,3.0500000000000003,3.2500000000000004
1,4,0.005,5.0,2.0,3.7,6.0,9.7
1,4,0.005,5.0,2.0,3.4000000000000004,5.7,9.1
1,4,0.005,5.0,2.0,3.9,6.0,9.9
1,4,0.005,5.0,2.0,2.5500000000000003,5.0,7.550000000000001
1,5,0.005,5.0,2.0,3.8,6.75,10.55
1,5,0.005,5.0,2.0,3.8,6.0,9.8
1,5,0.005,5.0,2.0,2.6,5.15,7.75
1,5,0.005,5.0,2.0,2.9000000000000004,5.2,8.100000000000001
1,5,0.005,5.0,2.0,3.1,5.9,9.0
1,5,0.005,5.0,2.0,3.95,7.2,11.15
1,10,0.005,5.0,2.0,4.95,7.65,12.6
1,10,0.005,5.0,2.0,3.8,7.25,11.05
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
30,10,0.005,5.0,2.0,3.0,5.8500000000000005,8.850000000000001
33,10,0.005,5.0,2.0,3.25,6.300000000000001,9.55
33,10,0.005,5.0,2.0,3.25,6.300000000000001,9.55
1,10,0.005,5.0,2.0,4.3500000000000005,7.300000000000001,11.650000000000002
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
15,11,0.005,5.0,2.0,4.0,7.65,11.65
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
