Simulation,Nb_agents,Gamma,Alpha,Beta,Blue_95_time,Blue_time,Red_95_time,Red_time,Door_closing_time,NotCrossed_atClose,Final_time
9,4,0.005,5.0,2.0,0.05,0.05,2.7499999999999982,2.7499999999999982,50.0,0,2.7499999999999982
6,4,0.005,5.0,2.0,0.05,0.05,2.1500000000000004,2.1500000000000004,50.0,0,2.1500000000000004
3,4,0.005,5.0,2.0,0.05,0.05,1.7000000000000008,1.7000000000000008,50.0,0,1.7000000000000008
1,4,0.005,5.0,2.0,0.05,0.05,2.6499999999999986,2.6499999999999986,50.0,0,2.6499999999999986
4,4,0.005,5.0,2.0,0.05,0.05,2.7499999999999982,2.7499999999999982,50.0,0,2.7499999999999982
10,4,0.005,5.0,2.0,0.05,0.05,2.1500000000000004,2.1500000000000004,50.0,0,2.1500000000000004
5,4,0.005,5.0,2.0,0.05,0.05,2.3999999999999995,2.3999999999999995,50.0,0,2.3999999999999995
7,4,0.005,5.0,2.0,0.05,0.05,2.799999999999998,2.799999999999998,50.0,0,2.799999999999998
8,4,0.005,5.0,2.0,0.05,0.05,2.6999999999999984,2.6999999999999984,50.0,0,2.6999999999999984
9,4,0.005,5.0,2.0,0.05,0.05,2.7499999999999982,2.7499999999999982,50.0,0,2.7499999999999982
6,4,0.005,5.0,2.0,0.05,0.05,2.1500000000000004,2.1500000000000004,50.0,0,2.1500000000000004
3,4,0.005,5.0,2.0,0.05,0.05,1.7000000000000008,1.7000000000000008,50.0,0,1.7000000000000008
1,4,0.005,5.0,2.0,0.05,0.05,2.6499999999999986,2.6499999999999986,50.0,0,2.6499999999999986
4,4,0.005,5.0,2.0,0.05,0.05,2.7499999999999982,2.7499999999999982,50.0,0,2.7499999999999982
10,4,0.005,5.0,2.0,0.05,0.05,2.1500000000000004,2.1500000000000004,50.0,0,2.1500000000000004
5,4,0.005,5.0,2.0,0.05,0.05,2.3999999999999995,2.3999999999999995,50.0,0,2.3999999999999995
7,4,0.005,5.0,2.0,0.05,0.05,2.799999999999998,2.799999999999998,50.0,0,2.799999999999998
8,4,0.005,5.0,2.0,0.05,0.05,2.6999999999999984,2.6999999999999984,50.0,0,2.6999999999999984
9,4,0.005,5.0,2.0,0.05,0.05,2.7499999999999982,2.7499999999999982,50.0,0,2.7499999999999982
6,4,0.005,5.0,2.0,0.05,0.05,2.1500000000000004,2.1500000000000004,50.0,0,2.1500000000000004
3,4,0.005,5.0,2.0,0.05,0.05,1.7000000000000008,1.7000000000000008,50.0,0,1.7000000000000008
1,4,0.005,5.0,2.0,0.05,0.05,2.6499999999999986,2.6499999999999986,50.0,0,2.6499999999999986
4,4,0.005,5.0,2.0,0.05,0.05,2.7499999999999982,2.7499999999999982,50.0,0,2.7499999999999982
10,4,0.005,5.0,2.0,0.05,0.05,2.1500000000000004,2.1500000000000004,50.0,0,2.1500000000000004
5,4,0.005,5.0,2.0,0.05,0.05,2.3999999999999995,2.3999999999999995,50.0,0,2.3999999999999995
